team,venue,matches,wins
West Indies,Jade Stadium,1,0
Australia,SuperSport Park,7,4
New Zealand,McLean Park,14,8
West Indies,McLean Park,2,1
Australia,Newlands,3,0
West Indies,Eden Park,2,2
Australia,St George's Park,4,1
Australia,Kingsmead,4,3
South Africa,New Wanderers Stadium,12,9
Australia,New Wanderers Stadium,4,2
Sri Lanka,R Premadasa Stadium,41,23
Pakistan,R Premadasa Stadium,10,8
Pakistan,Sinhalese Sports Club Ground,1,1
India,Feroz Shah Kotla,7,6
England,Feroz Shah Kotla,2,0
India,Nahar Singh Stadium,1,1
England,Nahar Singh Stadium,1,0
India,"Nehru Stadium, Fatorda",2,2
England,"Nehru Stadium, Fatorda",1,0
India,Keenan Stadium,1,0
England,Keenan Stadium,1,1
India,Maharani Usharaje Trust Cricket Ground,2,2
England,Maharani Usharaje Trust Cricket Ground,2,0
India,Sheikh Zayed Stadium,2,1
Pakistan,Sheikh Zayed Stadium,32,14
Australia,Chittagong Divisional Stadium,1,1
Bangladesh,Narayanganj Osmani Stadium,2,0
Australia,Narayanganj Osmani Stadium,2,2
West Indies,"Antigua Recreation Ground, St John's",2,2
Zimbabwe,"Antigua Recreation Ground, St John's",2,0
West Indies,"Beausejour Stadium, Gros Islet",9,2
Zimbabwe,"Beausejour Stadium, Gros Islet",1,0
Zimbabwe,"Queen's Park Oval, Port of Spain",1,0
India,"Sabina Park, Kingston",7,2
West Indies,"Warner Park, Basseterre",11,5
India,"Warner Park, Basseterre",1,0
India,"Queen's Park Oval, Port of Spain",11,7
Ireland,"Civil Service Cricket Club, Stormont",9,3
England,"Civil Service Cricket Club, Stormont",2,2
Sri Lanka,Lord's,3,3
Sri Lanka,Riverside Ground,4,3
England,Old Trafford,14,9
Sri Lanka,Old Trafford,3,1
Sri Lanka,Headingley,4,3
Kenya,Gymkhana Club Ground,10,5
Bangladesh,Gymkhana Club Ground,3,3
Pakistan,Trent Bridge,5,1
India,Kinrara Academy Oval,3,1
West Indies,Kinrara Academy Oval,4,2
South Africa,Goodyear Park,1,1
Zimbabwe,Goodyear Park,1,0
Zimbabwe,Buffalo Park,1,0
Australia,Kinrara Academy Oval,3,2
South Africa,Sedgars Park,1,1
Zimbabwe,Sedgars Park,1,0
Bangladesh,"Punjab Cricket Association Stadium, Mohali",1,0
Sri Lanka,"Punjab Cricket Association Stadium, Mohali",1,1
West Indies,"Sardar Patel Stadium, Motera",4,3
Zimbabwe,"Sardar Patel Stadium, Motera",4,0
Sri Lanka,"Sardar Patel Stadium, Motera",3,1
Bangladesh,Sawai Mansingh Stadium,2,1
West Indies,Sawai Mansingh Stadium,2,2
Zimbabwe,Sawai Mansingh Stadium,1,0
Sri Lanka,Brabourne Stadium,2,2
West Indies,Brabourne Stadium,4,1
India,Sawai Mansingh Stadium,5,4
England,Sawai Mansingh Stadium,2,0
New Zealand,Brabourne Stadium,2,1
South Africa,Brabourne Stadium,1,0
Pakistan,Sawai Mansingh Stadium,2,2
Sri Lanka,Sawai Mansingh Stadium,1,0
Australia,Brabourne Stadium,2,1
Australia,Sawai Mansingh Stadium,2,1
