team,venue,matches,wins
West Indies,Sheikh Zayed Stadium,3,0
England,Madhavrao Scindia Cricket Ground,1,0
England,Green Park,1,0
India,M Chinnaswamy Stadium,4,4
England,M Chinnaswamy Stadium,2,0
India,Barabati Stadium,6,6
England,Barabati Stadium,2,0
Sri Lanka,Shere Bangla National Stadium,14,9
South Africa,Melbourne Cricket Ground,3,1
India,McLean Park,3,2
India,AMI Stadium,1,1
India,Seddon Park,6,2
India,Eden Park,3,1
Ireland,Willowmoore Park,3,1
Scotland,Willowmoore Park,2,0
Australia,Dubai Sports City Cricket Stadium,2,1
Pakistan,Dubai Sports City Cricket Stadium,2,1
Australia,Sheikh Zayed Stadium,6,4
West Indies,County Ground,2,0
India,"Beausejour Stadium, Gros Islet",1,1
West Indies,"Windsor Park, Roseau",4,0
Bangladesh,"Windsor Park, Roseau",2,2
Bangladesh,"Warner Park, Basseterre",3,2
Bangladesh,Queens Sports Club,10,7
Kenya,Maple Leaf North-West Ground,1,0
New Zealand,R Premadasa Stadium,3,0
Australia,Trent Bridge,5,4
Sri Lanka,SuperSport Park,3,1
England,New Wanderers Stadium,3,1
Sri Lanka,New Wanderers Stadium,4,1
New Zealand,New Wanderers Stadium,3,3
India,New Wanderers Stadium,3,2
India,"Vidarbha Cricket Association Stadium, Jamtha",6,4
Australia,"Vidarbha Cricket Association Stadium, Jamtha",5,1
Australia,Feroz Shah Kotla,1,0
Bangladesh,Zohur Ahmed Chowdhury Stadium,3,2
Zimbabwe,Zohur Ahmed Chowdhury Stadium,2,0
New Zealand,Sheikh Zayed Stadium,7,5
South Africa,Willowmoore Park,4,4
Zimbabwe,Willowmoore Park,2,0
Zimbabwe,SuperSport Park,1,0
Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",1,1
Sri Lanka,Barabati Stadium,2,0
India,Eden Gardens,6,4
Sri Lanka,Eden Gardens,2,0
Pakistan,Adelaide Oval,6,2
Pakistan,Western Australia Cricket Association Ground,3,0
West Indies,Melbourne Cricket Ground,4,0
New Zealand,University Oval,9,9
Bangladesh,University Oval,3,0
Bangladesh,AMI Stadium,1,0
South Africa,Captain Roop Singh Stadium,1,0
England,Shere Bangla National Stadium,4,3
Australia,McLean Park,1,0
Zimbabwe,Providence Stadium,2,1
England,Zohur Ahmed Chowdhury Stadium,1,1
Zimbabwe,"Arnos Vale Ground, Kingstown",3,0
South Africa,"Sir Vivian Richards Stadium, North Sound",2,2
India,Queens Sports Club,4,3
South Africa,"Windsor Park, Roseau",2,2
Bangladesh,Rangiri Dambulla International Stadium,4,1
Australia,Clontarf Cricket Club Ground,1,1
England,Sophia Gardens,11,8
Canada,VRA Ground,1,0
Ireland,VRA Ground,2,2
Bangladesh,Trent Bridge,2,0
Bangladesh,County Ground,1,1
Bangladesh,Edgbaston,3,0
Bangladesh,"Civil Service Cricket Club, Stormont",1,1
Canada,"Toronto Cricket, Skating and Curling Club",1,1
Ireland,"Toronto Cricket, Skating and Curling Club",1,0
Pakistan,Riverside Ground,1,0
Pakistan,Headingley,3,0
Pakistan,Kennington Oval,3,2
New Zealand,Shere Bangla National Stadium,7,1
Zimbabwe,OUTsurance Oval,1,0
Zimbabwe,Senwes Park,1,0
Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0
South Africa,Sheikh Zayed Stadium,4,3
Pakistan,Dubai International Cricket Stadium,20,7
South Africa,Dubai International Cricket Stadium,4,2
New Zealand,Nehru Stadium,1,0
New Zealand,Sawai Mansingh Stadium,1,0
New Zealand,Reliance Stadium,1,0
New Zealand,M Chinnaswamy Stadium,1,0
New Zealand,"MA Chidambaram Stadium, Chepauk",2,1
Bangladesh,Zahur Ahmed Chowdhury Stadium,12,10
Zimbabwe,Zahur Ahmed Chowdhury Stadium,5,0
Pakistan,Westpac Stadium,2,0
Pakistan,AMI Stadium,1,1
Pakistan,McLean Park,3,2
West Indies,Sinhalese Sports Club Ground,3,0
Pakistan,Seddon Park,2,1
Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",17,9
Canada,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,0
Kenya,"MA Chidambaram Stadium, Chepauk",1,0
Australia,"Sardar Patel Stadium, Motera",2,1
England,"Vidarbha Cricket Association Stadium, Jamtha",1,1
Netherlands,"Vidarbha Cricket Association Stadium, Jamtha",1,0
Kenya,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,0
Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",4,2
South Africa,Feroz Shah Kotla,1,1
West Indies,Feroz Shah Kotla,3,1
Ireland,Shere Bangla National Stadium,1,0
New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",1,0
Netherlands,Feroz Shah Kotla,2,0
Canada,"Vidarbha Cricket Association Stadium, Jamtha",1,0
Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",1,1
Kenya,R Premadasa Stadium,1,0
Ireland,M Chinnaswamy Stadium,2,1
Canada,R Premadasa Stadium,1,0
Netherlands,"Punjab Cricket Association Stadium, Mohali",1,0
New Zealand,"Sardar Patel Stadium, Motera",1,1
West Indies,Shere Bangla National Stadium,9,5
England,"MA Chidambaram Stadium, Chepauk",2,2
South Africa,"MA Chidambaram Stadium, Chepauk",2,0
Canada,Feroz Shah Kotla,1,1
Kenya,Feroz Shah Kotla,1,0
New Zealand,Pallekele International Cricket Stadium,4,1
Pakistan,Pallekele International Cricket Stadium,5,2
Sri Lanka,Pallekele International Cricket Stadium,34,19
Zimbabwe,Pallekele International Cricket Stadium,5,1
England,Zahur Ahmed Chowdhury Stadium,2,1
Ireland,"Punjab Cricket Association Stadium, Mohali",1,0
West Indies,"Punjab Cricket Association Stadium, Mohali",1,1
South Africa,"Vidarbha Cricket Association Stadium, Jamtha",1,1
Canada,Wankhede Stadium,1,0
New Zealand,Wankhede Stadium,3,2
Australia,M Chinnaswamy Stadium,3,2
Kenya,M Chinnaswamy Stadium,1,0
Netherlands,Zahur Ahmed Chowdhury Stadium,1,0
Ireland,Eden Gardens,2,1
South Africa,Eden Gardens,1,1
Canada,M Chinnaswamy Stadium,1,0
Sri Lanka,Wankhede Stadium,2,1
Netherlands,Eden Gardens,1,0
Australia,R Premadasa Stadium,5,2
Kenya,Eden Gardens,1,0
Zimbabwe,Eden Gardens,1,1
Australia,Shere Bangla National Stadium,3,3
Pakistan,"Beausejour Stadium, Gros Islet",4,4
Pakistan,"Kensington Oval, Bridgetown",2,1
Pakistan,Providence Stadium,6,3
India,"Sir Vivian Richards Stadium, North Sound",4,2
Scotland,Mannofield Park,6,4
Netherlands,Mannofield Park,1,0
Sri Lanka,Trent Bridge,1,0
Australia,Pallekele International Cricket Stadium,4,3
Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2,1
England,Clontarf Cricket Club Ground,1,1
Pakistan,Queens Sports Club,6,6
Pakistan,Harare Sports Club,8,6
India,Sophia Gardens,4,3
Canada,Clontarf Cricket Club Ground,2,0
England,"Rajiv Gandhi International Stadium, Uppal",1,0
West Indies,Zahur Ahmed Chowdhury Stadium,2,0
England,"Punjab Cricket Association Stadium, Mohali",2,0
England,Wankhede Stadium,1,0
England,Eden Gardens,2,1
New Zealand,Queens Sports Club,1,0
Sri Lanka,Dubai International Cricket Stadium,6,2
Pakistan,Sharjah Cricket Stadium,17,8
Sri Lanka,Sharjah Cricket Stadium,5,0
Sri Lanka,Sheikh Zayed Stadium,5,1
West Indies,Barabati Stadium,2,0
West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,1
Pakistan,Zahur Ahmed Chowdhury Stadium,1,1
India,Holkar Cricket Stadium,3,3
West Indies,Holkar Cricket Stadium,1,0
South Africa,Boland Park,5,4
Sri Lanka,Boland Park,1,0
Sri Lanka,Buffalo Park,1,0
South Africa,Chevrolet Park,2,2
Sri Lanka,Chevrolet Park,1,0
South Africa,De Beers Diamond Oval,2,0
Sri Lanka,De Beers Diamond Oval,1,1
Zimbabwe,University Oval,1,0
New Zealand,Cobham Oval (New),2,2
Zimbabwe,Cobham Oval (New),1,0
India,Western Australia Cricket Association Ground,5,3
Zimbabwe,McLean Park,1,0
England,Sheikh Zayed Stadium,4,3
Kenya,Mombasa Sports Club Ground,2,1
Ireland,Mombasa Sports Club Ground,2,1
England,Dubai International Cricket Stadium,3,3
South Africa,Westpac Stadium,3,3
South Africa,McLean Park,1,1
South Africa,Eden Park,4,2
New Zealand,"Warner Park, Basseterre",3,1
India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2,1
India,Pallekele International Cricket Stadium,4,4
Australia,Sharjah Cricket Stadium,5,5
South Africa,The Rose Bowl,3,1
New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2,1
Bangladesh,Sheikh Abu Naser Stadium,2,2
West Indies,Sheikh Abu Naser Stadium,2,0
Pakistan,"MA Chidambaram Stadium, Chepauk",1,1
Pakistan,Eden Gardens,1,1
Pakistan,Feroz Shah Kotla,1,0
India,Saurashtra Cricket Association Stadium,3,1
England,Saurashtra Cricket Association Stadium,1,1
England,Nehru Stadium,1,0
New Zealand,Boland Park,1,1
India,JSCA International Stadium Complex,4,2
England,JSCA International Stadium Complex,1,0
New Zealand,De Beers Diamond Oval,1,1
New Zealand,Senwes Park,2,1
India,Himachal Pradesh Cricket Association Stadium,4,2
England,Himachal Pradesh Cricket Association Stadium,1,1
West Indies,Western Australia Cricket Association Ground,3,0
Australia,Manuka Oval,5,4
West Indies,Manuka Oval,2,1
West Indies,Sydney Cricket Ground,3,0
England,McLean Park,1,1
Zimbabwe,"National Cricket Stadium, St George's",2,0
Pakistan,Chevrolet Park,1,0
Canada,ICC Global Cricket Academy,1,0
Kenya,ICC Global Cricket Academy,1,1
Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,0
Pakistan,Willowmoore Park,1,0
Bangladesh,Pallekele International Cricket Stadium,3,1
Scotland,"Grange Cricket Club Ground, Raeburn Place",6,4
Pakistan,"Grange Cricket Club Ground, Raeburn Place",1,1
Pakistan,Clontarf Cricket Club Ground,1,1
New Zealand,The Rose Bowl,2,2
New Zealand,Trent Bridge,2,0
South Africa,Sophia Gardens,1,0
New Zealand,Sophia Gardens,5,2
Sri Lanka,Sophia Gardens,5,0
South Africa,Edgbaston,3,1
Netherlands,VRA Ground,1,0
South Africa,R Premadasa Stadium,4,1
South Africa,Pallekele International Cricket Stadium,5,2
Netherlands,Maple Leaf North-West Ground,1,1
Ireland,"The Village, Malahide",8,2
England,"The Village, Malahide",2,2
Scotland,"Civil Service Cricket Club, Stormont",1,0
India,Maharashtra Cricket Association Stadium,7,4
Australia,Maharashtra Cricket Association Stadium,1,1
South Africa,Sharjah Cricket Stadium,2,2
Bangladesh,Khan Shaheb Osman Ali Stadium,2,1
New Zealand,Khan Shaheb Osman Ali Stadium,1,0
West Indies,Nehru Stadium,2,1
Pakistan,St George's Park,2,2
West Indies,Green Park,1,0
New Zealand,Saxton Oval,7,6
West Indies,Saxton Oval,2,0
West Indies,Seddon Park,1,1
Netherlands,Bert Sutcliffe Oval,1,0
Kenya,Bert Sutcliffe Oval,1,1
Scotland,Hagley Oval,3,2
Canada,Hagley Oval,1,0
Canada,Bay Oval,1,0
Netherlands,Bay Oval,1,1
Kenya,Hagley Oval,1,0
India,Westpac Stadium,2,1
Pakistan,Khan Shaheb Osman Ali Stadium,1,0
Sri Lanka,Khan Shaheb Osman Ali Stadium,2,2
India,Khan Shaheb Osman Ali Stadium,2,1
Hong Kong,Kinrara Academy Oval,1,0
United Arab Emirates,Kinrara Academy Oval,2,2
Sri Lanka,"Clontarf Cricket Club Ground, Dublin",1,1
Ireland,"Clontarf Cricket Club Ground, Dublin",1,0
England,Mannofield Park,1,1
Sri Lanka,Edgbaston,2,1
South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,1
Bangladesh,"National Cricket Stadium, St George's",2,0
Scotland,"The Village, Malahide",3,1
Australia,Dubai International Cricket Stadium,4,3
West Indies,Himachal Pradesh Cricket Association Stadium,1,0
New Zealand,Bay Oval,9,4
South Africa,Bay Oval,2,2
Sri Lanka,"Rajiv Gandhi International Stadium, Uppal",1,0
Sri Lanka,JSCA International Stadium Complex,1,0
South Africa,Manuka Oval,2,1
England,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,1
New Zealand,Dubai International Cricket Stadium,3,0
England,Pallekele International Cricket Stadium,4,3
New Zealand,Sharjah Cricket Stadium,2,1
New Zealand,Hagley Oval,11,10
Sri Lanka,Hagley Oval,4,0
Ireland,Dubai International Cricket Stadium,1,1
Scotland,Dubai International Cricket Stadium,9,5
Sri Lanka,Seddon Park,1,1
Sri Lanka,Saxton Oval,3,1
West Indies,Buffalo Park,1,0
Sri Lanka,University Oval,2,0
South Africa,Seddon Park,3,2
Zimbabwe,Seddon Park,1,0
Ireland,Saxton Oval,1,1
Scotland,University Oval,1,0
United Arab Emirates,Saxton Oval,1,0
Zimbabwe,Saxton Oval,1,1
Pakistan,Hagley Oval,1,0
West Indies,Hagley Oval,3,1
England,Hagley Oval,2,2
Zimbabwe,Manuka Oval,1,0
Ireland,"Brisbane Cricket Ground, Woolloongabba",1,1
United Arab Emirates,"Brisbane Cricket Ground, Woolloongabba",1,0
Bangladesh,Melbourne Cricket Ground,2,0
United Arab Emirates,Western Australia Cricket Association Ground,1,0
Zimbabwe,"Brisbane Cricket Ground, Woolloongabba",1,0
Ireland,Manuka Oval,1,0
United Arab Emirates,McLean Park,2,0
Bangladesh,Saxton Oval,3,1
Scotland,Saxton Oval,1,0
Ireland,Bellerive Oval,1,1
Bangladesh,Adelaide Oval,1,1
Ireland,Seddon Park,1,0
Scotland,Bellerive Oval,2,0
United Arab Emirates,Westpac Stadium,1,0
Bangladesh,Seddon Park,1,0
Zimbabwe,Eden Park,1,0
Ireland,Adelaide Oval,1,0
Zimbabwe,Gaddafi Stadium,2,0
New Zealand,Edgbaston,3,1
South Africa,Zahur Ahmed Chowdhury Stadium,1,0
Australia,"Civil Service Cricket Club, Stormont",1,1
Australia,Headingley,1,0
Ireland,Harare Sports Club,14,7
South Africa,Green Park,1,1
South Africa,Holkar Cricket Stadium,1,0
South Africa,Saurashtra Cricket Association Stadium,1,1
West Indies,R Premadasa Stadium,2,0
West Indies,Pallekele International Cricket Stadium,5,1
United Arab Emirates,ICC Academy,10,3
Hong Kong,ICC Academy,2,2
England,Sharjah Cricket Stadium,1,1
Sri Lanka,Bay Oval,3,0
India,Manuka Oval,2,1
Pakistan,Basin Reserve,3,0
South Africa,Mangaung Oval,3,2
England,Mangaung Oval,1,1
Australia,Providence Stadium,2,1
Sri Lanka,"The Village, Malahide",1,1
United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",2,0
Pakistan,"The Village, Malahide",1,1
Pakistan,Sophia Gardens,3,3
Hong Kong,"Grange Cricket Club Ground, Raeburn Place",1,0
Australia,Willowmoore Park,1,1
West Indies,Sharjah Cricket Stadium,5,3
New Zealand,Himachal Pradesh Cricket Association Stadium,1,0
New Zealand,Feroz Shah Kotla,1,1
New Zealand,JSCA International Stadium Complex,1,1
New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0
Hong Kong,"Mission Road Ground, Mong Kok",3,2
Papua New Guinea,"Mission Road Ground, Mong Kok",3,1
New Zealand,Manuka Oval,1,0
Bangladesh,Hagley Oval,3,0
England,Maharashtra Cricket Association Stadium,4,1
Hong Kong,Sheikh Zayed Stadium,1,1
Scotland,Sheikh Zayed Stadium,1,0
United Arab Emirates,Dubai International Cricket Stadium,16,6
Hong Kong,Dubai International Cricket Stadium,3,0
Sri Lanka,St George's Park,2,0
Sri Lanka,Kingsmead,2,0
Sri Lanka,Newlands,2,0
South Africa,Hagley Oval,1,0
United Arab Emirates,ICC Global Cricket Academy,2,0
Ireland,ICC Global Cricket Academy,2,2
United Arab Emirates,Sheikh Zayed Stadium,4,2
Papua New Guinea,Sheikh Zayed Stadium,2,1
Ireland,County Ground,1,0
Ireland,Lord's,1,0
Ireland,Malahide,3,0
New Zealand,Malahide,2,2
Bangladesh,Clontarf Cricket Club Ground,2,1
New Zealand,Clontarf Cricket Club Ground,2,1
Bangladesh,Malahide,1,1
Zimbabwe,"Grange Cricket Club Ground, Raeburn Place",2,1
Sri Lanka,Galle International Stadium,2,1
Zimbabwe,Galle International Stadium,2,1
Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",3,2
India,"R.Premadasa Stadium, Khettarama",2,2
Australia,"MA Chidambaram Stadium, Chepauk",1,0
West Indies,Old Trafford,3,0
Australia,Eden Gardens,1,0
Australia,Holkar Cricket Stadium,1,0
Australia,M.Chinnaswamy Stadium,2,1
India,M.Chinnaswamy Stadium,2,1
Bangladesh,Diamond Oval,1,0
South Africa,Diamond Oval,2,2
Bangladesh,Boland Park,1,0
Bangladesh,Buffalo Park,1,0
New Zealand,Maharashtra Cricket Association Stadium,1,0
New Zealand,Green Park,1,0
Papua New Guinea,ICC Academy,1,0
Sri Lanka,Himachal Pradesh Cricket Association Stadium,1,1
Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0
West Indies,Cobham Oval (New),1,0
Pakistan,Saxton Oval,1,0
Ireland,ICC Academy,4,4
Pakistan,University Oval,1,0
Zimbabwe,"Shere Bangla National Stadium, Mirpur",5,1
Bangladesh,"Shere Bangla National Stadium, Mirpur",26,15
Scotland,ICC Academy,6,2
Sri Lanka,"Shere Bangla National Stadium, Mirpur",7,4
England,Perth Stadium,1,1
Australia,Perth Stadium,4,1
India,The Wanderers Stadium,1,0
England,Bay Oval,1,1
United Arab Emirates,Harare Sports Club,5,2
Papua New Guinea,Harare Sports Club,2,0
Hong Kong,Bulawayo Athletic Club,1,0
Scotland,Bulawayo Athletic Club,3,3
West Indies,Old Hararians,2,2
United Arab Emirates,Old Hararians,2,0
England,University Oval,1,0
Papua New Guinea,Old Hararians,2,1
Hong Kong,Queens Sports Club,1,0
Ireland,Old Hararians,1,1
Scotland,Queens Sports Club,1,1
United Arab Emirates,Queens Sports Club,1,0
Hong Kong,Old Hararians,1,0
Scotland,Harare Sports Club,3,1
South Africa,"R.Premadasa Stadium, Khettarama",1,0
Nepal,Kinrara Academy Oval,1,0
Bangladesh,Dubai International Cricket Stadium,4,1
India,Dubai International Cricket Stadium,10,10
Bangladesh,Sheikh Zayed Stadium,1,1
Zimbabwe,Diamond Oval,1,0
Zimbabwe,Mangaung Oval,1,0
Zimbabwe,Boland Park,1,0
West Indies,Barsapara Cricket Stadium,1,0
India,Barsapara Cricket Stadium,1,1
England,"R.Premadasa Stadium, Khettarama",1,0
West Indies,Maharashtra Cricket Association Stadium,1,1
India,Brabourne Stadium,1,1
West Indies,Greenfield International Stadium,1,0
India,Greenfield International Stadium,1,1
South Africa,Perth Stadium,1,1
West Indies,"Shere Bangla National Stadium, Mirpur",4,1
Bangladesh,Sylhet International Cricket Stadium,6,6
West Indies,Sylhet International Cricket Stadium,1,0
Nepal,ICC Academy,3,2
India,Bay Oval,3,2
Pakistan,The Wanderers Stadium,2,1
West Indies,"Kensington Oval, Barbados",4,3
England,"Kensington Oval, Barbados",2,1
West Indies,"National Cricket Stadium, Grenada",2,1
England,"National Cricket Stadium, Grenada",1,1
West Indies,"Darren Sammy National Cricket Stadium, St Lucia",1,1
England,"Darren Sammy National Cricket Stadium, St Lucia",1,0
Sri Lanka,The Wanderers Stadium,1,0
Australia,JSCA International Stadium Complex,1,1
Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1
Australia,Arun Jaitley Stadium,1,1
Papua New Guinea,Affies Park,1,1
United States of America,Affies Park,1,0
Namibia,Wanderers Cricket Ground,1,1
Oman,Wanderers Cricket Ground,1,0
Ireland,Castle Avenue,2,0
West Indies,Castle Avenue,2,1
Bangladesh,Castle Avenue,2,2
West Indies,"The Village, Malahide",3,1
Bangladesh,"The Village, Malahide",2,2
Pakistan,County Ground,1,0
Scotland,"Grange Cricket Club, Raeburn Place",1,0
Sri Lanka,"Grange Cricket Club, Raeburn Place",1,1
Australia,The Cooper Associates County Ground,1,1
Pakistan,The Cooper Associates County Ground,1,0
Pakistan,Old Trafford,1,0
Bangladesh,The Cooper Associates County Ground,1,1
West Indies,The Cooper Associates County Ground,1,0
Netherlands,Sportpark Het Schootsveld,2,2
Zimbabwe,Sportpark Het Schootsveld,2,0
New Zealand,Old Trafford,2,2
South Africa,Riverside Ground,1,1
West Indies,Riverside Ground,1,0
Ireland,"Bready Cricket Club, Magheramason",1,1
Zimbabwe,"Bready Cricket Club, Magheramason",1,0
Zimbabwe,"Civil Service Cricket Club, Stormont",2,0
Bangladesh,Lord's,1,0
South Africa,Old Trafford,1,1
Bangladesh,"R.Premadasa Stadium, Khettarama",3,0
West Indies,"Queen's Park Oval, Trinidad",2,0
India,"Queen's Park Oval, Trinidad",2,2
Oman,Mannofield Park,4,3
Papua New Guinea,Mannofield Park,4,0
United States of America,Central Broward Regional Park Stadium Turf Ground,3,3
Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,4,0
Namibia,Central Broward Regional Park Stadium Turf Ground,3,2
United Arab Emirates,Sharjah Cricket Stadium,6,2
United States of America,Sharjah Cricket Stadium,2,2
Scotland,Sharjah Cricket Stadium,1,0
United States of America,ICC Academy,2,1
Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),16,10
United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),9,5
Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),7,2
Ireland,"Kensington Oval, Barbados",2,0
Ireland,"National Cricket Stadium, Grenada",1,0
Australia,Saurashtra Cricket Association Stadium,1,0
Nepal,Tribhuvan University International Cricket Ground,4,2
Oman,Tribhuvan University International Cricket Ground,4,4
United States of America,Tribhuvan University International Cricket Ground,4,0
West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,0
Australia,Boland Park,1,0
Zimbabwe,Sylhet International Cricket Stadium,3,0
Australia,Mangaung Oval,1,0
Australia,Senwes Park,1,0
Ireland,The Rose Bowl,3,1
Ireland,Sheikh Zayed Stadium,2,1
West Indies,Sir Vivian Richards Stadium,3,3
Sri Lanka,Sir Vivian Richards Stadium,3,0
Bangladesh,Basin Reserve,1,0
South Africa,"SuperSport Park, Centurion",5,1
Netherlands,"Hazelaarweg, Rotterdam",7,3
Scotland,"Hazelaarweg, Rotterdam",2,1
Bangladesh,Sher-e-Bangla National Cricket Stadium,1,1
Sri Lanka,Sher-e-Bangla National Cricket Stadium,1,0
Netherlands,"Sportpark Maarschalkerweerd, Utrecht",9,6
Ireland,"Sportpark Maarschalkerweerd, Utrecht",3,1
Sri Lanka,"Riverside Ground, Chester-le-Street",1,0
England,"Riverside Ground, Chester-le-Street",3,2
Sri Lanka,"Kennington Oval, London",1,0
Pakistan,"Sophia Gardens, Cardiff",1,0
England,"Sophia Gardens, Cardiff",4,3
Ireland,"The Village, Malahide, Dublin",5,1
South Africa,"The Village, Malahide, Dublin",2,1
Pakistan,"Edgbaston, Birmingham",1,0
England,"Edgbaston, Birmingham",3,2
Sri Lanka,"R Premadasa Stadium, Colombo",24,15
India,"R Premadasa Stadium, Colombo",9,5
Australia,"Kensington Oval, Bridgetown, Barbados",3,2
South Africa,"R Premadasa Stadium, Colombo",3,1
Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),4,0
United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2
Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,0
Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,4
Zimbabwe,"Civil Service Cricket Club, Stormont, Belfast",2,1
Ireland,"Civil Service Cricket Club, Stormont, Belfast",2,1
United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),6,3
Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2
Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,1
Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1,1
Namibia,"Wanderers Cricket Ground, Windhoek",12,8
Oman,"Wanderers Cricket Ground, Windhoek",1,0
Ireland,"Sabina Park, Kingston, Jamaica",3,2
South Africa,"Boland Park, Paarl",4,2
India,"Boland Park, Paarl",3,1
West Indies,"Narendra Modi Stadium, Ahmedabad",3,0
India,"Narendra Modi Stadium, Ahmedabad",6,5
Oman,"ICC Academy, Dubai",3,2
United Arab Emirates,"ICC Academy, Dubai",5,3
Namibia,"ICC Academy, Dubai",2,1
Namibia,Sharjah Cricket Stadium,2,0
Oman,Sharjah Cricket Stadium,1,1
Oman,Dubai International Cricket Stadium,5,2
Namibia,Dubai International Cricket Stadium,3,2
Papua New Guinea,Sharjah Cricket Stadium,2,0
Nepal,Sharjah Cricket Stadium,1,1
Bangladesh,"SuperSport Park, Centurion",2,2
Nepal,Dubai International Cricket Stadium,7,3
Papua New Guinea,Dubai International Cricket Stadium,9,3
Bangladesh,"The Wanderers Stadium, Johannesburg",1,0
South Africa,"The Wanderers Stadium, Johannesburg",5,3
Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",6,3
Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",30,22
Australia,"Gaddafi Stadium, Lahore",6,3
Netherlands,"Bay Oval, Mount Maunganui",1,0
New Zealand,"Bay Oval, Mount Maunganui",3,3
New Zealand,"Seddon Park, Hamilton",7,7
Netherlands,"Seddon Park, Hamilton",2,0
United States of America,"Choice Moosa Stadium, Pearland",2,1
Scotland,"Choice Moosa Stadium, Pearland",2,1
United Arab Emirates,"Moosa Cricket Stadium, Pearland",4,2
Scotland,"Moosa Cricket Stadium, Pearland",2,1
Netherlands,"VRA Ground, Amstelveen",8,2
West Indies,"VRA Ground, Amstelveen",3,3
United States of America,"Moosa Cricket Stadium, Pearland",5,3
Oman,"Moosa Cricket Stadium, Pearland",4,2
Nepal,"Moosa Cricket Stadium, Pearland",3,1
England,"VRA Ground, Amstelveen",3,3
Australia,"R Premadasa Stadium, Colombo",5,1
New Zealand,"The Village, Malahide, Dublin",3,3
West Indies,"Providence Stadium, Guyana",6,1
Bangladesh,"Providence Stadium, Guyana",3,3
Namibia,"Cambusdoon New Ground, Ayr",2,2
Nepal,"Cambusdoon New Ground, Ayr",2,0
India,"Kennington Oval, London",1,1
Scotland,"Titwood, Glasgow",3,2
Nepal,"Titwood, Glasgow",2,1
Namibia,"Titwood, Glasgow",1,0
India,"Old Trafford, Manchester",1,1
South Africa,"Riverside Ground, Chester-le-Street",1,1
India,"Queen's Park Oval, Port of Spain, Trinidad",3,3
West Indies,"Queen's Park Oval, Port of Spain, Trinidad",3,0
Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",1,0
New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",1,1
Scotland,"Mannofield Park, Aberdeen",4,3
United Arab Emirates,"Mannofield Park, Aberdeen",3,0
United States of America,"Mannofield Park, Aberdeen",3,2
Pakistan,"Hazelaarweg, Rotterdam",3,3
New Zealand,"Kensington Oval, Bridgetown, Barbados",5,3
Zimbabwe,"Tony Ireland Stadium, Townsville",2,0
Australia,"Tony Ireland Stadium, Townsville",2,2
Australia,"Riverway Stadium, Townsville",1,0
Zimbabwe,"Riverway Stadium, Townsville",1,1
New Zealand,"Cazaly's Stadium, Cairns",3,0
Australia,"Cazaly's Stadium, Cairns",4,3
Papua New Guinea,"Amini Park, Port Moresby",3,1
United States of America,"Amini Park, Port Moresby",3,0
